filename,client_id,document_type,is_intentionally_incomplete
C1002_bank_statement_july2026.pdf,C1002,bank_statement,No
C1001_bank_statement.pdf,C1001,bank_statement,No
C1002_bank_statement.pdf,C1002,bank_statement,Yes
C1003_bank_statement.pdf,C1003,bank_statement,No
C1004_bank_statement.pdf,C1004,bank_statement,No
C1005_financial_summary.pdf,C1005,financial_summary,Yes
C1006_financial_summary.pdf,C1006,financial_summary,No
C1007_financial_summary.pdf,C1007,financial_summary,No
C1009_transaction_report.pdf,C1009,transaction_report,No
C1010_transaction_report.pdf,C1010,transaction_report,No
C1012_transaction_report.pdf,C1012,transaction_report,No
C1017_application_form.pdf,C1017,client_application_form,Yes
C1019_application_form.pdf,C1019,client_application_form,No
C1025_account_summary.pdf,C1025,account_summary,Yes
C1034_account_summary.pdf,C1034,account_summary,No
invalid_corrupted.pdf,,invalid,N/A
